0.282828,0,0.333333,0.333333,0.258621,0.2,0.2,0.2,0.2,0.2,0.2,0.283608,0.217293,0.264144,0.266515,0.142497,0.19287,0.007449,0.0038,0.005011,0.003221,0.005406,0.005508,0
0.090909,1,0.166667,0.333333,0.327586,0.3,0,0,0.1,0.4,0.4,0.146372,0.065763,0.085733,0.160967,0.081059,0.136661,0,0,0.002225,0,0.002345,0,0
0.040404,0,0.5,0.333333,0.37931,0.2,0.2,0.4,0.2,0.2,0.2,0.153579,0.077036,0.091231,0.168206,0.089166,0.153554,0.00445,0,0.000506,0.000502,0.003517,0.000946,0
0.010101,0,0.5,0.333333,0.258621,0.2,0.2,0.2,0.2,0.2,0.2,0.16319,0.085124,0.097349,0.17917,0.100144,0.148453,0.001935,0.000714,0.000843,0.001129,0.001407,0.000218,0
0.373737,1,0.333333,0.666667,0.344828,0.2,0.2,0.2,0.2,0.1,0.2,0.22346,0.138538,0.121229,0.181186,0.089792,0.145157,0.003708,0.000762,0.000506,0.01485,0.024737,0.009624,0
0.040404,0,0.333333,0.666667,0.051724,0.2,0.2,0.2,0.2,0.2,0.2,0.1553,0.071049,0.089433,0.164309,0.085697,0.140783,0.001374,0.001226,0.001116,0.003333,0.004689,0.019534,0
0.040404,0,0.333333,0.666667,0.103448,0.2,0.2,0.2,0.2,0.2,0.2,0.22748,0.111618,0.112347,0.205632,0.128035,0.179755,0.004292,0.001484,0.002232,0.003221,0.004851,0.003783,0
0.212121,1,0.166667,0.666667,0.103448,0,0,0.1,0.2,0.2,0.2,0.150314,0.070621,0.087032,0.167739,0.098612,0.156504,0.00118,0.001827,0.00837,0.01618,0.035191,0.017024,0
0.171717,1,0.5,0.666667,0.103448,0.1,0.1,0.1,0.1,0.1,0.1,0.149968,0.06622,0.086737,0.16398,0.080648,0.135865,0,0.000425,0.007747,0,0.000499,0,0
0.060606,1,0.5,0.333333,0.293103,0.3,0.4,0.2,0.2,0.2,0.2,0.198745,0.120695,0.098351,0.172868,0.09483,0.148446,0.000057,0.000819,0.001674,0.00161,0.002345,0.001892,0
0.161616,1,0.166667,0.666667,0.137931,0.2,0.2,0.2,0.2,0.2,0.2,0.226557,0.144592,0.131203,0.222776,0.116344,0.158293,0.004121,0.001781,0.005256,0.002415,0.002345,0.001892,0
